Empresa;Código;Índices dos quais participa;
3TENTOS;ON   NM;TTEN3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
ABBVIE;DRN;ABBV34;BDRX
ABC BRASIL;PN   N2;ABCB4;IBRA,IDIV,IFNC,IGCT,IGCX,ITAG,SMLL
ADOBE INC;DRN;ADBE34;BDRX
ADVANCE AUTO;DRN;A1AP34;BDRX
ADVANCED MIC;DRN;A1MD34;BDRX
AERIS;ON   NM;AERI3;GPTW,IBRA,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
AIRBNB;DRN;AIRB34;BDRX
ALBEMARLE CO;DRN;A1LB34;BDRX
ALIBABAGR;DRN;BABA34;BDRX
ALLIAR;ON   NM;AALR3;IGCX,IGNM,ITAG
ALLIED;ON   NM;ALLD3;IGCX,IGNM,ITAG
ALLOS;ON   NM;ALOS3;IBBR,IBEP,IBHB,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,IMOB,ISEE,ITAG,IVBX,SMLL
ALPARGATAS;ON   N1;ALPA3;IGCX
ALPARGATAS;PN   N1;ALPA4;IBBR,IBEP,IBHB,IBOV,IBRA,IBXX,ICON,IGCT,IGCX,INDX,SMLL
ALPHABET;DRN;GOGL34;BDRX
ALPHABET;DRN;GOGL35;BDRX
ALPHAVILLE;ON   NM;AVLL3;IGCX,IGNM,ITAG
ALUPAR;UNT  N2;ALUP11;IBRA,IEEX,IGCT,IGCX,ITAG,SMLL,UTIL
AMAZON;DRN;AMZO34;BDRX
AMBEV S/A;ON;ABEV3;AGFS,GPTW,IBBR,IBEP,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,INDX,ISEE,MLCX
AMBIPAR;ON   NM;AMBP3;IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL
AMERICAN AIR;DRN;AALL34;BDRX
AMERICAN EXP;DRN;AXPB34;BDRX
